ID,Description,Location,Region,Duration,Start ,End,Day,Month,year,Season,Environment,Conditions,Temp,Recorder,Mics,Channels,Mic_position,SC?,Lossless?,mp3?,Image?,site?,Quality,Notes,Actual date
NRM006,Normanville Beach Reserve,Normanville,Western Fleurieu,3:33,17:00:00,17:03:33,1,4,2017,Autumn,Open space,,,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,4,,
NRM007,Normanville Beach,Normanville,Western Fleurieu,4:42,14:00:00,14:04:42,1,9,2019,Spring,Coastal,,,SD MixPre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,3,,
NRM008,Bungala Riverside,Normanville,Western Fleurieu,2:14,14:15:00,14:17:14,1,9,2019,Spring,Riverine,,,SD MixPre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,3,,
NRM009,Bungala Riverside - hydrophones,Normanville,Western Fleurieu,6:27,14:30:00,14:36:27,1,9,2019,Spring,Riverine,,,SD MixPre-3,Aquarian Hydrophones,Stereo pair,Hydrophones,y,y,y,y,y,4,,
PTE001,"Port Elliot Railway Station, Steam Ranger",Port Elliot,Eastern Fleurieu,1:02,14:35:00,14:36:02,1,3,2012,Autumn,Urban,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,4,,
PTE002,"Memorial Park, Port Elliot",Port Elliot,Eastern Fleurieu,3:52,17:30:00,17:33:52,1,8,2012,Winter,Semi-urban,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
PTE003,"Continental Park, Port Elliot",Port Elliot,Eastern Fleurieu,3:04,9:30:00,9:33:04,1,7,2014,Winter,Semi-urban,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
PTE004,Horseshoe Bay (western beach),Port Elliot,Eastern Fleurieu,7:15,7:30:00,7:37:15,1,7,2014,Winter,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
PWA001,Parawa (junc. Range and Parawa Roads),Parawa,South-Central Fleurieu,1:04,15:00:00,15:01:04,1,9,2017,Spring,Open space,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,2,,
RAP001,Rapid Bay Cave,Rapid Bay,Western Fleurieu,1:32,12:00:00,12:01:32,1,2,2012,Summer,Karst,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
SBN001,Strathalbyn Locomotive Turntable,Strathalbyn,North-Eastern Fleurieu,5:17,15:00:00,15:05:17,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,4,,
SEL001,"Sellick Beach, Southern Bay",Sellicks Beach,North-Western Fleurieu,6:02,10:30:00,10:36:02,1,4,2015,Autumn,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,3,,
SPR001,Springmount paddock,Springmount,Central Fleurieu,4:38,10:00:00,10:04:38,1,9,2019,Spring,Open space,,,SD MixPre-3,LA CM3,Stereo pair (w/windjammers),Tripod,y,y,y,y,y,3,,
SPR002,Mount Alma Conservation Park,Springmount,Central Fleurieu,7:49,10:30:00,10:37:49,1,9,2019,Spring,Light forest & scrub,,,SD MixPre-3,LA CM3,Stereo pair (w/windjammers),Tripod,y,y,y,y,y,4,,
SPR003,Mount Alma Conservation Park - side of the road,Springmount,Central Fleurieu,8:48,10:45:00,10:53:48,1,9,2019,Spring,Light forest & scrub,,,SD MixPre-3,LA CM3,Stereo pair (w/windjammers),Tripod,y,y,y,y,y,4,,
SVF001,"Witch Tree Hill, Second Valley Forest",Second Valley Forest,Western Fleurieu,2:06,12:30:00,12:32:06,1,7,2011,Winter,Dense forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,3,,
SVF002,"Second Valley Forest, Trees and ambience",Second Valley Forest,Western Fleurieu,6:37,15:00:00,15:06:37,1,7,2014,Winter,Dense forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
SVF003,"Second Valley Forest, Trees and ambience",Second Valley Forest,Western Fleurieu,4:06,15:15:00,15:19:06,1,7,2014,Winter,Dense forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
SVF004,SV Forest (near gate MH2),Second Valley Forest,Western Fleurieu,7:26,13:00:00,13:07:26,1,9,2017,Spring,Dense forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
TRV001,Torrens Vale (junc. Parawa + Stone Roads),Torrens Value,Western Fleurieu,2:28,15:15:00,15:17:28,1,9,2017,Spring,Open space,,,Olympus LS-100,Built-in,Stereo pair,Positioned,y,y,y,y,y,2,,
VHR001,Victor Harbor Locomotive Turntable,Victor Harbor,Eastern Fleurieu,5:44,15:00:00,15:05:44,1,4,2012,Autumn,Industrial,,,Edirol HR-09,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
WAI001,Waitpinga Camping Ground,Waitpinga,Southern Fleurieu,3:38,9:00:00,9:03:38,1,1,2014,Summer,Light forest & scrub,,,Olympus LS-100,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,6/1/14
WAI001,Waitpinga Beach,Waitpinga,Southern Fleurieu,1:53,19:00:00,19:01:53,1,1,2014,Summer,Coastal,,,Olympus LS-100,Built-in,Stereo pair,Handheld,N,y,y,y,N,3,,5/1/14
WIR001,"Southern Cave, near Wirrina",Wirrina,Western Fleurieu,2:06,8:30:00,8:32:06,1,7,2011,Winter,Coastal,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
WIR002,"Broken fence, near Wirrina cove",Wirrina,Western Fleurieu,4:00,16:45:00,16:49:00,1,5,2015,Autumn,Dense medium,,,Olympus LS-100,Custom (Green Whip) contact microphones,Stereo pair,Speical,y,y,y,y,y,4,,
YKA001,Yankalillla RSL Reserve,Yankalillla,Western Fleurieu,2:03,14:00:00,14:02:03,1,1,2016,Summer,Semi-urban,,,Olympus LS-100,Built-in,Stereo pair,Handheld,y,y,y,y,y,4,,
